"id_requisicao","num_movimentacoes","num_anexos","valor_estimado","dias_em_processamento","passou_distribuidora","id_tipo_irregularidade","id_subtipo_irregularidade","tem_descricao","tem_link_fatura","tem_periodos","avancou"
17256,7,0,0.00,341,0,5,14,1,1,1,1
17257,13,0,10000.00,799,0,5,12,1,1,1,0
17258,16,0,15000.00,799,0,2,4,1,1,1,0
17259,13,0,16000.00,799,0,2,4,1,1,1,0
17260,43,0,20000.00,799,0,5,12,1,1,1,1
17261,26,0,400000.00,799,0,5,12,1,1,1,1
17270,17,0,50000.00,797,0,2,4,1,1,1,0
17272,12,0,100000.00,797,0,2,4,1,1,1,0
17274,13,0,150000.00,797,0,2,4,1,1,1,0
17275,16,0,50000.00,797,0,2,4,1,1,1,0
17280,132,0,2000.00,795,0,2,4,1,1,1,1
17281,28,0,4000.00,792,0,2,4,1,1,1,1
17285,19,0,2000.00,792,0,2,4,1,1,1,0
17309,10,0,50000.00,791,0,5,12,1,1,1,0
17310,10,0,20000.00,791,0,7,11,1,1,1,0
17311,11,0,120000.00,791,0,5,12,1,1,1,0
17312,11,0,11000.00,789,0,2,4,1,1,1,0
17313,13,0,20000.00,789,0,5,12,1,1,1,0
17314,10,0,10000.00,789,0,5,12,1,1,1,0
17315,10,0,10000.00,789,0,5,12,1,1,1,0
17316,10,0,10000.00,789,0,5,12,1,1,1,0
17317,10,0,10000.00,789,0,5,12,1,1,1,0
17318,11,0,10000.00,789,0,5,12,1,1,1,0
17320,9,0,30000.00,788,0,5,12,1,1,1,0
17321,9,0,16000.00,785,0,2,4,1,1,1,0
17322,9,0,14000.00,785,0,5,12,1,1,1,0
17323,9,0,13000.00,785,0,5,12,1,1,1,0
17324,19,0,70000.00,785,0,2,4,1,1,1,1
17325,20,0,18000.00,785,0,2,4,1,1,1,1
17326,9,0,30000.00,785,0,2,4,1,1,1,0
